12	012.net.il
191	mail.191.biz
191.it	mail.191.it
Access4Less	smtp.access4less.net
Active Network	smtp.activenetwork.it
Actrix Networks	mail.actrix.co.nz
Adelphia	mail.adelphia.net
akfree	smtp.akfree.it
albacom	smpt.albacom.net
Albacom	relay.albacom.net
Albacom	smtp.albacom.net
alcotek	smtp.alcotek.it
alice	out.aliceposta.it
aliceposta.it	mail.tin.it
alise	outmail.f2s.com
AOL	smtp.aol.com
Arnet	smtp.arnet.com.ar
Aruba	smtp.aruba.it
AT & T Wireless	smtp.attwireless.net
AT & T Worldnet	imailhost.worldnet.att.net
atlanet	smtp.atlavia.it
atlanet	smtp.weblinea.it
Auna	smtp.auna.com
Bahrain Telecommunications Company	batelco.com.bh
Barak I.T.C	mail.barak.net.il
basilicatanet.it	mail.basilicatanet.it
bella.ci	bella.ci
Bellsouth	mail.bellsouth.net
Bezeq International	mail.bezeqint.net
Bezeqint	mail.bezeqint.net
Bitstop	pangasinan.com
Blu.it	smtp.blu.it
Bluebottle	mail.bluebottle.com
bluelight.com	smtp.mybluelight.com
Bluewin	mail.bluewin.ch
BlueYonder	smtp.blueyonder.co.uk
bol.com.br	smtp.bol.com.br
BRTURBO	smtp.brturbo.com.br
BT Internet	mail.btinternet.com
BT Openworld	mail.btopenworld.com
BTClick	smtp.btclick.com
BTTB	mail.bttb.net.bd
BusinessServe	smtp.businessserve.co.uk
Cable One	mail.cableone.net
Cableinet	smtp.blueyonder.co.uk
Caiway	smtp.caiway.nl
Callsouth - Broadband	smtp2.callsouth.net.nz
Callsouth - Dial up	smtp.callsouth.net.nz
Cantv.net	mail.cantv.net
cegetel	smtp.cegetel.net
Chariot Netconnect	mail.vic.chariot.net.au
charter	pop.charter.net
Charter	mail.charter.net
cheapnet	smtp.cheapnet.it
chello.pl	mail.chello.pl
ciaoweb	ciaosmtp.ciaoweb.it
Cingular	smtp.mymmode.com
Ciudad	smtp.ciudad.com.ar
Claranet	relay.clara.net
Clear Net	smtp.clear.net.nz
click21	smtp.click21.com.br
Club-Internet	smtp.club-internet.fr
collegeclub	collegeclub.com
Colt.net (Germany)	smtp.ipmail.colt.net
Columbia Power and Water	mail.cpws.net
Comcast	smtp.comcast.net
Cox - Central	smtp.central.cox.net
Cox - East	smtp.east.cox.net
Cox - West	smtp.west.cox.net
Cultura	smtp.cultura.com.br
CWCom	smtp.ntlworld.com
Datamat	mail.datamat.it
Demon	post.demon.co.uk
Digitel Italia	smtp.etmail.it
Dinajpur	www.dinajpur.biz
Dream Net Internet	mail.dreamnet.co.nz
Earth Link	smtpauth.earthlink.net
Easynet	smtp.easynet.co.uk
eircom.net	mail2.eircom.net
Elitel	smtp.elitel.biz
Email.it	smtp.email.it
Euronet NL	smtp.euronet.nl
everybodycanadd	itsverybad
Excite	smtp.tiscali.it
EzySurf	smtp.ezysurf.co.nz
FastMail	mail.messagingengine.com
fastweb	pop.fastwebnet.it
Fastweb	mailbus.fastweb.it
Fastweb	smtp.fastweb.it
Fastweb	smtp.fastwebnet.it
fibertel.com.ar	smtp.fibertel.com.ar
Free	smtp.free.fr
Free Telecom	smtp.free.fr
Freedom2surf	outmail.f2s.com
Freemail	smtp.freemail.it
freemail.it	mail.freemail.it
freemail.it (supereva)	mail.freemail.it
freenet	mx.freenet.de
freenet.de	mx.freenet.de
Freeserve	smtp.freeserve.co.uk
Galactica.it	smtp.galactica.it
Genie	mail.genie.co.uk
GIGA	smtp.giga.net.tw
Globe Net Communications	smtp.globe.net.nz
gmail	smtp.gmail.com
GMX	mail.gmx.net
Go Daddy	smtpout.secureserver.net
go.com	smtp.go.com
Haier Electronics	smtp.haier-electronics.com
Hinet	msa.hinet.net
HiNet	ms1.hinet.net
hotmail (Please see Windows Live Homtail)	mx2.hotmail.com
HOTMAIL (Please see Windows Live Homtail)	hotmail.co.uk
Hotmail.com (Please see Windows Live Homtail)	mx2.hotmail.com
Hotmail.com (Please see Windows Live Homtail)	mx1.hotmail.com
Hotmail.com (Please see Windows Live Homtail)	mx1.hotmail.com
HotPOP.com	smtp.hotpop.com
I4U Internet Services	mail.i4u.net.nz
ic24	smtp.ic24.net
IG	smtp.ig.com.br
IHUG	smtp.ihug.co.nz
INET	inet.it
Infinito	mail.infinito.it
InfoStructure -- GRR Technology	smtp.grrtech.com
InfoStructure -- InfoStructure	smtp.mind.net
InfoStructure -- Klamath Falls Internet	smtp.kfalls.net
InfoStructure -- Medford Internet	smtp.medford.net
InsightBB	mail.insightbb.com
Interbusiness (TI Easynet)	mail1.cs.interbusiness.it
INTERFREE	mail.interfree.it
Internet Zahav	sout.zahav.net.il
internetlibero	smtp.internetlibero.it
inWind	mail.inwind.it
IOL	mail.iol.it
Iomart	smtp.domain.ext
IPrimus Australia	smtp.iprimus.com.au
Iprolink	smtp.iprolink.co.nz
istruzione.it	istruzione.it
ItalyMAIL	mail.italymail.biz
ixpres.com	smtp.ixpres.com
jumpy	mail.jumpy.it
Juno	smtp.juno.com
Katamail	smtp.katamail.com
Kataweb	smtp.katamail.com
la poste	smtp.laposte.net
Le neuf	smtp.neuf.fr
Libero	mail.libero.it
Lillinet	smtp.weblinea.it
Lineone	smtp.lineone.net
Lycos	smtp.lycos.co.uk
lycos.it	smtp.lycos.it
Mac.com	smtp.mac.com
Madasafish	smtp.madasafish.com
mail.quizil.net	mail.quizil.net
mail.ru	smtp.mail.ru
Mailsnare	mail.mailsnare.net
Maktoob Mail	mira0.maktoob.com
McLink	mail.mclink.it
